000001,0.051785763
000002,0.104876
000004,0.036817525
000005,-0.057456236
000006,0.050091024
000007,0.14907727
000008,0.0075502573
000009,0.04915007
000010,-0.001486443
000011,-0.20912921
000012,-0.008473065
000014,-0.049109086
000016,0.021686725
000017,0.0149558745
000019,0.013092737
000020,-0.31753343
000021,0.0837454
000023,0.008402001
000025,0.016157135
000026,-0.057531208
000027,-0.017038025
000028,0.08154614
000029,0.0
000030,0.047451496
000031,0.041536294
000032,0.1008484
000034,0.05016073
000035,0.06849636
000036,-0.044879366
000037,-0.052717358
000038,-0.0686289
000039,-0.027558323
000040,-0.0042685606
000042,-0.0053907707
000045,0.007886322
000046,-0.018591762
000048,-0.0489023
000049,0.14607906
000050,0.08588871
000055,-0.057793293
000056,-0.019233165
000058,-0.019378675
000059,-0.01736668
000060,0.057434734
000061,-0.13889931
000062,0.032288197
000063,0.074979596
000065,-0.0074943434
000066,-0.0040357085
000068,-0.06401052
000069,-0.0107377805
000070,-0.05529704
000078,0.01749589
000088,-0.007580882
000089,0.03370378
000090,0.101909235
000096,-0.05649785
000099,-0.06330938
000100,0.017025769
000150,-0.04102665
000151,0.022129375
000153,0.026539877
000155,0.0
000156,0.0012787348
000157,0.074071094
000158,0.021576839
000159,-0.037049707
000166,0.046392363
000301,0.06162875
000333,-0.099581316
000338,0.030083273
000400,-0.024879456
000401,0.028992567
000402,-0.053208463
000403,0.015101438
000404,0.022539817
000407,-0.04491174
000408,-0.037990194
000409,-0.082184225
000410,-0.016287284
000411,-0.006904278
000413,-0.052249573
000415,-0.051713355
000416,0.011694802
000417,-0.044021063
000419,0.01134363
000420,-0.0110361315
000421,-0.020965088
000422,-0.08560218
000423,0.09281422
000425,0.0057037696
000426,0.118272215
000428,0.040242992
000429,0.0041231625
000430,0.0038721599
000488,-0.06531316
000498,-0.026775675
000501,-0.07885056
000502,-0.024172664
000503,0.07082117
000504,-0.048913456
000505,0.04838657
000506,-0.15383227
000507,-0.011948712
000509,8.6477026e-05
000510,-0.022872875
000513,0.13357514
000514,0.04636802
000516,-0.017609606
000517,0.0993686
000518,0.04149092
000519,-0.07545663
000520,-0.116761245
000521,-0.03390349
000523,-0.0127240475
000524,-0.076480344
000525,-0.031842336
000526,0.0538131
000528,-0.06327064
000529,-0.020817004
000530,-0.05642308
000531,-0.078473985
000532,0.045883708
000533,0.025084855
000534,0.015079379
000536,0.015304044
000537,-0.09253472
000538,0.0013824087
000539,-0.06671952
000540,-0.091799624
000541,-0.058585413
000543,0.025558047
000544,0.02116297
000545,-0.026145954
000546,0.031443343
000547,-0.06325263
