trade_date,stock_code,model_pred
2021-01-04,000002,-0.23774391
2021-01-04,000009,-1.0218732
2021-01-04,000016,-0.13178355
2021-01-04,000023,-0.14932656
2021-01-04,000028,-0.45173898
2021-01-04,000032,-0.57186705
2021-01-04,000037,-1.1263862
2021-01-04,000042,-0.9334779
2021-01-04,000050,0.17996359
2021-01-04,000059,-0.69198155
2021-01-04,000063,-1.0235486
2021-01-04,000069,-0.68412286
2021-01-04,000089,-0.39165184
2021-01-04,000100,-0.20778261
2021-01-04,000155,-0.85725975
2021-01-04,000159,-0.4109465
2021-01-04,000338,-0.3526881
2021-01-04,000403,-0.36443335
2021-01-04,000415,0.25888687
2021-01-04,000420,-0.031912234
2021-01-04,000426,-0.5197266
2021-01-04,000488,-0.808222
2021-01-04,000505,-0.55125844
2021-01-04,000514,0.16801994
2021-01-04,000520,-0.42621467
2021-01-04,000526,0.31070858
2021-01-04,000531,-0.36196926
2021-01-04,000538,-1.5863737
2021-01-04,000543,-0.41919923
2021-01-04,000547,-1.7978611
2021-01-04,000552,-0.6981767
2021-01-04,000557,-0.8102205
2021-01-04,000561,-0.058669716
2021-01-04,000566,-0.117872305
2021-01-04,000573,-0.006146129
2021-01-04,000584,-0.09192765
2021-01-04,000592,-0.5002352
2021-01-04,000598,-0.09648264
2021-01-04,000603,-0.27811152
2021-01-04,000608,0.6081072
2021-01-04,000613,0.2694739
2021-01-04,000622,-0.70952916
2021-01-04,000628,-0.11508626
2021-01-04,000632,-0.21218759
2021-01-04,000637,-0.110255815
2021-01-04,000651,0.15404968
2021-01-04,000657,-0.99801576
2021-01-04,000666,-0.5331893
2021-01-04,000672,0.16922134
2021-01-04,000680,-0.9635442
2021-01-04,000685,-0.1973938
2021-01-04,000691,-0.35876772
2021-01-04,000700,-0.19289218
2021-01-04,000708,-1.0038767
2021-01-04,000712,-1.0382286
2021-01-04,000717,-0.25193733
2021-01-04,000721,-1.2556955
2021-01-04,000726,-0.043067403
2021-01-04,000733,-1.1846433
2021-01-04,000739,-0.43378803
2021-01-04,000755,-0.117398396
2021-01-04,000759,-0.061006732
2021-01-04,000767,-1.3750458
