trade_date,stock_code,model_pred
2024-01-02,000006,-0.29229486
2024-01-02,000012,0.39806497
2024-01-02,000019,0.29478377
2024-01-02,000026,-0.14274003
2024-01-02,000030,-0.07220346
2024-01-02,000035,0.27289087
2024-01-02,000042,0.4659662
2024-01-02,000050,-0.24094816
2024-01-02,000060,-0.15122858
2024-01-02,000065,-0.30878124
2024-01-02,000078,-0.12697616
2024-01-02,000096,0.14214227
2024-01-02,000153,-0.09075171
2024-01-02,000158,-0.21327808
2024-01-02,000333,0.3855564
2024-01-02,000402,-0.09473049
2024-01-02,000408,0.37059194
2024-01-02,000413,-0.24141434
2024-01-02,000420,0.12241704
2024-01-02,000425,0.1527665
2024-01-02,000430,0.23504248
2024-01-02,000503,0.02122776
2024-01-02,000509,-0.18307826
2024-01-02,000516,-0.013459615
2024-01-02,000520,-0.53349173
2024-01-02,000526,-0.49241996
2024-01-02,000531,-0.17373782
2024-01-02,000536,-0.31703514
2024-01-02,000541,-0.11659067
2024-01-02,000546,-1.7088532
2024-01-02,000552,-0.32254076
2024-01-02,000557,-0.23776817
2024-01-02,000561,0.118358314
2024-01-02,000566,-0.14902811
2024-01-02,000572,-0.03512478
2024-01-02,000586,0.25136125
2024-01-02,000592,0.2386474
2024-01-02,000597,-0.10226157
2024-01-02,000601,-0.30347338
2024-01-02,000608,-0.13771617
2024-01-02,000619,-1.495755
2024-01-02,000626,0.22366321
2024-01-02,000630,0.6541233
2024-01-02,000635,0.25745267
2024-01-02,000650,0.04952568
2024-01-02,000657,0.2410947
2024-01-02,000665,0.46854857
2024-01-02,000676,-0.56487024
2024-01-02,000680,-0.36408672
2024-01-02,000685,0.31951225
2024-01-02,000692,-0.40268618
2024-01-02,000700,-0.31874698
2024-01-02,000705,-1.7057528
2024-01-02,000710,0.03589482
2024-01-02,000716,-0.5271913
2024-01-02,000720,-0.037957203
2024-01-02,000725,0.1350535
2024-01-02,000729,-0.008500946
2024-01-02,000736,0.27503234
2024-01-02,000750,-0.07235833
2024-01-02,000756,-0.54851276
2024-01-02,000761,0.2195009
2024-01-02,000768,0.19519594
2024-01-02,000779,-0.5377623
2024-01-02,000786,-0.62795657
2024-01-02,000791,0.13135144
2024-01-02,000796,-0.34125543
2024-01-02,000800,0.13070019
2024-01-02,000807,0.123276904
2024-01-02,000813,-0.13854916
2024-01-02,000819,0.2017973
2024-01-02,000823,0.37420774
2024-01-02,000830,-0.12381621
2024-01-02,000837,-0.32070813
2024-01-02,000850,-0.059315994
2024-01-02,000859,-0.0029623397
2024-01-02,000863,-0.13825487
2024-01-02,000876,0.13675992
2024-01-02,000881,0.11996378
2024-01-02,000886,-0.3614725
2024-01-02,000892,-0.19054368
2024-01-02,000898,0.17344968
2024-01-02,000902,0.3612678
2024-01-02,000910,0.24081346
2024-01-02,000915,0.19439837
2024-01-02,000921,-0.06606249
2024-01-02,000926,-1.008605
2024-01-02,000930,0.26275775
2024-01-02,000935,0.0147441495
2024-01-02,000948,0.38217038
2024-01-02,000952,0.19837019
2024-01-02,000958,0.17881313
2024-01-02,000962,0.1715288
2024-01-02,000967,0.1697368
2024-01-02,000972,-0.0011188854
2024-01-02,000978,-2.852493
2024-01-02,000983,0.22557792
2024-01-02,000990,0.32324088
2024-01-02,000998,0.12972084
2024-01-02,001205,-0.729931
2024-01-02,001210,0.24446613
2024-01-02,001217,-2.6011224
2024-01-02,001223,0.30673146
2024-01-02,001230,0.09012252
2024-01-02,001256,-0.1879217
2024-01-02,001267,0.15567493
2024-01-02,001278,-0.032979015
2024-01-02,001287,0.24874191
2024-01-02,001299,-0.2599431
2024-01-02,001308,-1.1552272
2024-01-02,001314,-1.8309793
2024-01-02,001323,-0.3691361
2024-01-02,001330,0.4620623
2024-01-02,001337,0.06800863
2024-01-02,001366,-0.8278285
2024-01-02,001376,-0.026754886
2024-01-02,001872,0.5543444
2024-01-02,001979,0.23757182
2024-01-02,002006,-0.044389147
2024-01-02,002010,0.05443757
2024-01-02,002015,0.17896207
2024-01-02,002020,-0.48701528
2024-01-02,002025,0.54552984
2024-01-02,002029,-0.09163693
2024-01-02,002033,0.21829188
2024-01-02,002038,-0.0968149
2024-01-02,002043,0.073048614
2024-01-02,002047,-0.7442562
2024-01-02,002051,-0.05555465
