trade_date,stock_code,model_pred
2023-01-03,000002,0.42382333
2023-01-03,000009,-0.42795706
2023-01-03,000014,-1.4112054
2023-01-03,000020,-0.0033205692
2023-01-03,000026,-0.48075813
2023-01-03,000030,0.056159995
2023-01-03,000035,-0.013041741
2023-01-03,000042,-0.1648819
2023-01-03,000049,-0.6043378
2023-01-03,000059,-0.40953293
2023-01-03,000063,0.21906392
2023-01-03,000069,0.50841355
2023-01-03,000090,0.23020679
2023-01-03,000151,-1.1722312
2023-01-03,000157,0.1472474
2023-01-03,000301,-0.05421812
2023-01-03,000401,-0.03022613
2023-01-03,000407,-0.14954221
2023-01-03,000411,-0.12768638
2023-01-03,000417,-1.34347
2023-01-03,000422,-0.28301316
2023-01-03,000428,-2.4040916
2023-01-03,000498,0.24069832
2023-01-03,000505,-0.40800756
2023-01-03,000513,-0.2307805
2023-01-03,000518,-0.25398096
2023-01-03,000523,-1.4454035
2023-01-03,000529,-1.5783131
2023-01-03,000533,-0.24722415
2023-01-03,000538,0.16187525
2023-01-03,000543,0.044372357
2023-01-03,000547,-0.073116705
2023-01-03,000552,-0.23508812
2023-01-03,000557,-0.0607479
2023-01-03,000561,-0.9624958
2023-01-03,000566,-0.13681932
2023-01-03,000572,-0.07454215
2023-01-03,000582,-0.24826448
2023-01-03,000591,-0.37200916
2023-01-03,000596,0.38567305
2023-01-03,000600,-0.6646062
2023-01-03,000607,-1.546472
2023-01-03,000617,0.310394
2023-01-03,000625,0.16590813
2023-01-03,000629,-0.12329928
2023-01-03,000633,-0.3170749
2023-01-03,000638,-1.5621545
2023-01-03,000652,-0.48719716
2023-01-03,000661,-0.04467979
2023-01-03,000667,-0.097092405
2023-01-03,000672,-0.34141585
2023-01-03,000679,-1.5536091
2023-01-03,000683,-0.07308106
2023-01-03,000690,-0.15130037
2023-01-03,000697,-0.34372473
2023-01-03,000702,-0.52630025
2023-01-03,000708,0.022549396
2023-01-03,000713,-0.9850645
2023-01-03,000718,-0.2657148
2023-01-03,000722,0.2920283
2023-01-03,000727,-0.07335605
2023-01-03,000733,-0.26164168
2023-01-03,000738,-0.120283335
2023-01-03,000753,-0.2362015
2023-01-03,000758,-0.3309062
2023-01-03,000766,-0.34908515
2023-01-03,000777,-0.13078113
