trade_date,stock_code,model_pred
2022-01-04,000001,0.061868288
2022-01-04,000007,-0.097092606
2022-01-04,000011,-0.4144368
2022-01-04,000017,-0.166587
2022-01-04,000023,-0.08958748
2022-01-04,000028,0.042940214
2022-01-04,000032,-0.8999797
2022-01-04,000037,-0.6913316
2022-01-04,000045,0.022900557
2022-01-04,000050,0.44153583
2022-01-04,000059,-0.37925088
2022-01-04,000063,0.0057897344
2022-01-04,000069,-0.05577076
2022-01-04,000090,-0.07732016
2022-01-04,000150,-1.7089677
2022-01-04,000156,0.36240384
2022-01-04,000166,0.3776007
2022-01-04,000400,0.29132515
2022-01-04,000404,0.041476794
2022-01-04,000410,0.5563858
2022-01-04,000416,-0.8188603
2022-01-04,000421,-0.27655923
2022-01-04,000426,-0.20795572
2022-01-04,000488,-0.041173533
2022-01-04,000504,0.18044198
2022-01-04,000510,-1.4051108
2022-01-04,000517,-0.5404824
2022-01-04,000521,-0.1893718
2022-01-04,000528,0.39861777
2022-01-04,000532,0.12100891
2022-01-04,000537,-0.17194858
2022-01-04,000541,0.11626004
2022-01-04,000546,-0.017965004
2022-01-04,000551,-0.7884039
2022-01-04,000555,0.115419455
2022-01-04,000560,-0.42178643
2022-01-04,000565,-0.81411505
2022-01-04,000570,-0.540792
2022-01-04,000576,-0.6982465
2022-01-04,000589,-0.111788176
2022-01-04,000593,-0.7922231
2022-01-04,000598,0.2510599
2022-01-04,000603,0.1182906
2022-01-04,000610,-0.9663421
2022-01-04,000620,-0.88386524
2022-01-04,000627,0.09222682
2022-01-04,000631,-0.29191494
2022-01-04,000636,-0.6343859
2022-01-04,000650,-0.9194052
2022-01-04,000657,0.5849699
2022-01-04,000665,-1.1054657
2022-01-04,000671,-0.91882163
2022-01-04,000678,-0.18585289
2022-01-04,000682,-0.41685104
2022-01-04,000688,-0.22753176
2022-01-04,000695,-0.92781496
2022-01-04,000701,0.18917605
2022-01-04,000707,-0.55213684
2022-01-04,000712,-0.12527575
2022-01-04,000717,-0.8426808
2022-01-04,000721,-1.1013541
2022-01-04,000726,-0.28400242
2022-01-04,000731,-1.8041577
2022-01-04,000736,-1.4160357
2022-01-04,000750,0.31091458
2022-01-04,000756,-1.428809
