# disclosure_anchor research-priority universe — v11 phase-1 candidate from the frozen public screen.
# Best attainable phase-1 candidate / still not GO; rules and hashes: watchlist-v11-manifest.json.
# Threshold outcome, not forced fill; blank optional fields inherit global defaults.
security_code,exchange,status,joined_date,lookback_days,sync_frequency,process_classes,note
688789,SSE,active,2026-08-23,,,,杭州宏华数码科技股份有限公司
688018,SSE,active,2026-08-23,,,,乐鑫信息科技(上海)股份有限公司
002997,SZSE,active,2026-08-23,,,,瑞鹄汽车模具股份有限公司
605305,SSE,active,2026-08-23,,,,中际联合(北京)科技股份有限公司
002901,SZSE,active,2026-08-23,,,,大博医疗科技股份有限公司
603129,SSE,active,2026-08-23,,,,浙江春风动力股份有限公司
301377,SZSE,active,2026-08-23,,,,广东鼎泰高科技术股份有限公司
002150,SZSE,active,2026-08-23,,,,江苏正泰电源科技股份有限公司
002947,SZSE,active,2026-08-23,,,,苏州恒铭达电子科技股份有限公司
301059,SZSE,active,2026-08-23,,,,金三江(肇庆)硅材料股份有限公司
301219,SZSE,active,2026-08-23,,,,赣州腾远钴业新材料股份有限公司
000426,SZSE,active,2026-08-23,,,,内蒙古兴业银锡矿业股份有限公司
603606,SSE,active,2026-08-23,,,,宁波东方电缆股份有限公司
002222,SZSE,active,2026-08-23,,,,福建福晶科技股份有限公司
603025,SSE,active,2026-08-23,,,,北京大豪科技股份有限公司
002001,SZSE,active,2026-08-23,,,,浙江新和成股份有限公司
300684,SZSE,active,2026-08-23,,,,北京中石伟业科技股份有限公司
601168,SSE,active,2026-08-23,,,,西部矿业股份有限公司
300824,SZSE,active,2026-08-23,,,,深圳市北鼎晶辉科技股份有限公司
002402,SZSE,active,2026-08-23,,,,深圳和而泰智能控制股份有限公司
300354,SZSE,active,2026-08-23,,,,江苏东华测试技术股份有限公司
002847,SZSE,active,2026-08-23,,,,盐津铺子食品股份有限公司
000988,SZSE,active,2026-08-23,,,,华工科技产业股份有限公司
300627,SZSE,active,2026-08-23,,,,上海华测导航技术股份有限公司
603501,SSE,active,2026-08-23,,,,豪威集成电路(集团)股份有限公司
605319,SSE,active,2026-08-23,,,,无锡市振华汽车部件股份有限公司
601899,SSE,active,2026-08-23,,,,紫金矿业集团股份有限公司
600961,SSE,active,2026-08-23,,,,株洲冶炼集团股份有限公司
601020,SSE,active,2026-08-23,,,,西藏华钰矿业股份有限公司
002281,SZSE,active,2026-08-23,,,,武汉光迅科技股份有限公司
002895,SZSE,active,2026-08-23,,,,贵州川恒化工股份有限公司
603530,SSE,active,2026-08-23,,,,江苏神马电力股份有限公司
688049,SSE,active,2026-08-23,,,,炬芯科技股份有限公司
000957,SZSE,active,2026-08-23,,,,中通客车股份有限公司
002558,SZSE,active,2026-08-23,,,,巨人网络集团股份有限公司
002039,SZSE,active,2026-08-23,,,,贵州黔源电力股份有限公司
605128,SSE,active,2026-08-23,,,,上海沿浦精工科技(集团)股份有限公司
605016,SSE,active,2026-08-23,,,,山东百龙创园生物科技股份有限公司
300611,SZSE,active,2026-08-23,,,,浙江美力科技股份有限公司
002487,SZSE,active,2026-08-23,,,,大金重工股份有限公司
688097,SSE,active,2026-08-23,,,,博众精工科技股份有限公司
300690,SZSE,active,2026-08-23,,,,山东双一科技股份有限公司
000737,SZSE,active,2026-08-23,,,,北方铜业股份有限公司
003010,SZSE,active,2026-08-23,,,,广州若羽臣科技股份有限公司
605198,SSE,active,2026-08-23,,,,烟台北方安德利果汁股份有限公司
600428,SSE,active,2026-08-23,,,,中远海运特种运输股份有限公司
002906,SZSE,active,2026-08-23,,,,惠州市华阳集团股份有限公司
002409,SZSE,active,2026-08-23,,,,江苏雅克科技股份有限公司
300570,SZSE,active,2026-08-23,,,,深圳太辰光通信股份有限公司
300994,SZSE,active,2026-08-23,,,,久祺股份有限公司
603697,SSE,active,2026-08-23,,,,有友食品股份有限公司
600186,SSE,active,2026-08-23,,,,莲花控股股份有限公司
603596,SSE,active,2026-08-23,,,,芜湖伯特利汽车安全系统股份有限公司
300408,SZSE,active,2026-08-23,,,,潮州三环(集团)股份有限公司
688300,SSE,active,2026-08-23,,,,江苏联瑞新材料股份有限公司
605056,SSE,active,2026-08-23,,,,咸亨国际科技股份有限公司
300811,SZSE,active,2026-08-23,,,,深圳市铂科新材料股份有限公司
605259,SSE,active,2026-08-23,,,,绿田机械股份有限公司
300446,SZSE,active,2026-08-23,,,,航天智造科技股份有限公司
002378,SZSE,active,2026-08-23,,,,崇义章源钨业股份有限公司
601799,SSE,active,2026-08-23,,,,常州星宇车灯股份有限公司
300415,SZSE,active,2026-08-23,,,,伊之密股份有限公司
688248,SSE,active,2026-08-23,,,,南方电网电力科技股份有限公司
002850,SZSE,active,2026-08-23,,,,深圳市科达利实业股份有限公司
000423,SZSE,active,2026-08-23,,,,东阿阿胶股份有限公司
001319,SZSE,active,2026-08-23,,,,铭科精技控股股份有限公司
002215,SZSE,active,2026-08-23,,,,深圳诺普信作物科学股份有限公司
300743,SZSE,active,2026-08-23,,,,杭州天地数码科技股份有限公司
603713,SSE,active,2026-08-23,,,,密尔克卫智能供应链服务集团股份有限公司
002273,SZSE,active,2026-08-23,,,,浙江水晶光电科技股份有限公司
603132,SSE,active,2026-08-23,,,,金徽矿业股份有限公司
603269,SSE,active,2026-08-23,,,,江苏海鸥冷却塔股份有限公司
688102,SSE,active,2026-08-23,,,,陕西斯瑞新材料股份有限公司
002979,SZSE,active,2026-08-23,,,,深圳市雷赛智能控制股份有限公司
301283,SZSE,active,2026-08-23,,,,聚胶新材料股份有限公司
600160,SSE,active,2026-08-23,,,,浙江巨化股份有限公司
603755,SSE,active,2026-08-23,,,,青岛日辰食品股份有限公司
000791,SZSE,active,2026-08-23,,,,甘肃电投能源发展股份有限公司
600489,SSE,active,2026-08-23,,,,中金黄金股份有限公司
600262,SSE,active,2026-08-23,,,,内蒙古北方重型汽车股份有限公司
300201,SZSE,active,2026-08-23,,,,徐州海伦哲专用车辆股份有限公司
600268,SSE,active,2026-08-23,,,,国电南京自动化股份有限公司
002967,SZSE,active,2026-08-23,,,,广电计量检测集团股份有限公司
