year,from,to,daynum,port_ret,bmk_ret,active_ret,total_risk,active_risk,IR,turnover,total_mdd,active_mdd,avg_active_mdd,win_ratio,bmk,model_id,dataset,label_shift,univ_id,suffix,archive_id
9999.0,20140107.0,20250217.0,2700.0,0.3928961985474431,0.07225163569223693,0.3206445628552061,0.2776455136297168,0.11896996663581764,2.6951723356932633,36.86120063916653,-0.4387498232525886,-0.19349204787054172,-0.08586405464494958,1.0,YangQi,agruxgb,day1,10,all,0123,archive_20250217_product
9999.0,20140107.0,20250217.0,2700.0,0.31643000147634925,0.07653880705748173,0.23989119441886755,0.2495910403079528,0.1034210798252076,2.319558012972874,43.236289985100406,-0.35834277331983866,-0.09949844956220376,-0.06233255501754431,0.9166666666666666,hs300,agruxgb,day1,10,all,0123,archive_20250217_product
9999.0,20140107.0,20250217.0,2700.0,0.2921299382890208,0.0709849678593264,0.2211449704296944,0.2585420085172577,0.10633106184927847,2.0797776922717244,43.20617872777709,-0.4008413681623039,-0.14681979537043202,-0.07753590576766295,1.0,zz800,agruxgb,day1,10,all,0123,archive_20250217_product
9999.0,20140107.0,20250217.0,2700.0,0.4761185790333753,0.10067364412021053,0.3754449349131648,0.288817187030109,0.07831788266986787,4.793859615635575,48.74701853273297,-0.4263685841396818,-0.16143833121994655,-0.04970478511417189,0.9166666666666666,broad_univ,agruxgb,day1,10,all,0123,archive_20250217_product
9999.0,20140107.0,20250217.0,2700.0,0.39917565947779604,0.07225163569223693,0.3269240237855591,0.2757306785886225,0.11787010115300435,2.7735958532960514,32.0263638031527,-0.4438867858757009,-0.15594975460822602,-0.07889006795831023,1.0,YangQi,agruxgb,week1,10,all,0123,archive_20250217_product
9999.0,20140107.0,20250217.0,2700.0,0.2734861659867676,0.07653880705748173,0.19694735892928586,0.2481019964238301,0.1048225851305976,1.8788637838297035,36.487674773732635,-0.3536346529454184,-0.10203954236104018,-0.057653461571160414,0.9166666666666666,hs300,agruxgb,week1,10,all,0123,archive_20250217_product
9999.0,20140107.0,20250217.0,2700.0,0.29316360477937553,0.0709849678593264,0.22217863692004916,0.256937822753164,0.10644809980580283,2.0872015313131733,36.94176789041367,-0.3712468040426382,-0.12330032541847034,-0.07478652093184802,0.9166666666666666,zz800,agruxgb,week1,10,all,0123,archive_20250217_product
9999.0,20140107.0,20250217.0,2700.0,0.4690183835106188,0.10067364412021053,0.3683447393904081,0.29031791768961857,0.07910576622369782,4.656357645898924,43.131994611846075,-0.43813554584278736,-0.12210556189016696,-0.045313317758936746,1.0,broad_univ,agruxgb,week1,10,all,0123,archive_20250217_product
9999.0,20140107.0,20250217.0,2700.0,0.3711368198339635,0.07225163569223693,0.2988851841417266,0.2760908550112029,0.11642955352556175,2.567090357141216,37.12385639343373,-0.4550347899558221,-0.184965724516202,-0.08080678120753756,1.0,YangQi,agrulgb,day1,10,all,0123,archive_20250217_product
9999.0,20140107.0,20250217.0,2700.0,0.306664830840822,0.07653880705748173,0.23012602378334024,0.25115005651066186,0.10362210533425256,2.220819805204937,44.19508966637634,-0.3861438717856565,-0.13787463103412312,-0.057581173071344464,0.9166666666666666,hs300,agrulgb,day1,10,all,0123,archive_20250217_product
9999.0,20140107.0,20250217.0,2700.0,0.2815014199217773,0.0709849678593264,0.21051645206245093,0.2577896903260907,0.1046119166025097,2.012356325162678,43.792548854332715,-0.4098175316684977,-0.1560182616943866,-0.07026055553872196,1.0,zz800,agrulgb,day1,10,all,0123,archive_20250217_product
9999.0,20140107.0,20250217.0,2700.0,0.4918699120975867,0.10067364412021053,0.39119626797737617,0.2914694068310717,0.08267969286768666,4.7314673580538384,52.76227326535811,-0.4231095289968885,-0.19720449358669326,-0.05192550375845306,0.9166666666666666,broad_univ,agrulgb,day1,10,all,0123,archive_20250217_product
9999.0,20140107.0,20250217.0,2700.0,0.38205481653807216,0.07225163569223693,0.30980318084583525,0.2747614995150509,0.11650341960684127,2.659176716797788,32.40653347151669,-0.452381558098381,-0.1568685681517814,-0.07624060949388227,1.0,YangQi,agrulgb,week1,10,all,0123,archive_20250217_product
9999.0,20140107.0,20250217.0,2700.0,0.26614265046258856,0.07653880705748173,0.18960384340510686,0.2484824153915772,0.10510422562411798,1.8039602335607612,36.77197403145778,-0.33116696748947705,-0.11973371410988932,-0.06314202244155273,0.9166666666666666,hs300,agrulgb,week1,10,all,0123,archive_20250217_product
9999.0,20140107.0,20250217.0,2700.0,0.28324816106451145,0.0709849678593264,0.21226319320518505,0.2566547185093359,0.10530437976372772,2.015710967401752,37.44837404918107,-0.3678664440869392,-0.13423634315621036,-0.07483902328504521,0.9166666666666666,zz800,agrulgb,week1,10,all,0123,archive_20250217_product
9999.0,20140107.0,20250217.0,2700.0,0.4734184130698895,0.10067364412021053,0.372744768949679,0.2919557351572123,0.0806776037799212,4.620176498628814,45.90375438138571,-0.457663887628782,-0.11146987395223706,-0.03987755710778384,0.9166666666666666,broad_univ,agrulgb,week1,10,all,0123,archive_20250217_product
9999.0,20140107.0,20250217.0,2700.0,0.3578344419935833,0.07225163569223693,0.2855828063013464,0.28680563580067303,0.12627068831732216,2.2616714148549497,53.87767929007197,-0.4995448931446154,-0.16353067307424185,-0.08224575178037287,1.0,YangQi,agru,day1,10,all,0123,archive_20250217_product
9999.0,20140107.0,20250217.0,2700.0,0.3082171709798369,0.07653880705748173,0.2316783639223552,0.2646222651214788,0.12420446358376512,1.8652982126210649,61.082031075793324,-0.4039212216720188,-0.16992000234700597,-0.0791389833684029,0.9166666666666666,hs300,agru,day1,10,all,0123,archive_20250217_product
9999.0,20140107.0,20250217.0,2700.0,0.2652502759467006,0.0709849678593264,0.1942653080873742,0.2725267894476262,0.12159960303460615,1.5975817621056547,60.34210764357604,-0.4774726985924057,-0.17069671242061224,-0.0838572522926168,0.8333333333333334,zz800,agru,day1,10,all,0123,archive_20250217_product
9999.0,20140107.0,20250217.0,2700.0,0.4939799915803249,0.10067364412021053,0.3933063474601144,0.3032374609881639,0.10709616679673924,3.6724596147925754,71.04337722858375,-0.4853842220003015,-0.24248034399170934,-0.05803171167609322,0.8333333333333334,broad_univ,agru,day1,10,all,0123,archive_20250217_product
9999.0,20140107.0,20250217.0,2700.0,0.3331559301196836,0.07225163569223693,0.2609042944274467,0.2880426431641677,0.13759196110353158,1.896217572123478,46.26143237074992,-0.4942203665398837,-0.2324045330568552,-0.09886658583553193,1.0,YangQi,agru,day2,10,all,0123,archive_20250217_product
9999.0,20140107.0,20250217.0,2700.0,0.1818250337198537,0.07653880705748173,0.10528622666237196,0.2603527389829135,0.12947113329509324,0.8132023253585142,54.08058821968075,-0.499696863649385,-0.27201728639929607,-0.1055452610476128,0.75,hs300,agru,day2,10,all,0123,archive_20250217_product
9999.0,20140107.0,20250217.0,2700.0,0.1996453602392612,0.0709849678593264,0.12866039237993476,0.2688311299296929,0.12494356306231365,1.029748065658792,53.403005649325024,-0.4607389098399744,-0.2582986496154518,-0.1010871322968455,0.8333333333333334,zz800,agru,day2,10,all,0123,archive_20250217_product
