archive_id,alpha_id,model_id,dataset,univ_id,suffix,mean_rank_ic,ic_ir,ic_posratio,mean_num,BETA,BTOP,EARNYILD,GROWTH,LEVERAGE,LIQUIDTY,MOMENTUM,RESVOL,SIZE,SIZENL,alpha,analyst,growth,momentum,quality,reversal,size,value1,value2
archive_20250217_product,agruxgb,day1,10.0,all,0123,0.12168863102054915,1.2442436286830036,0.9138840070298769,3739.0140597539544,-0.02134944500002406,0.12165662450119787,0.15035719535231115,0.022375298266990036,0.005828531410978787,-0.38973072897782024,0.04750486813827212,-0.3027466276849693,-0.0486195398118344,-0.07167425213378534,0.5082557180086674,0.22173548895828743,0.2707346631114644,0.12407461868300916,0.22327934252165876,0.615877125202094,0.11605000560990578,0.299135261420387,0.36684332580885254
archive_20250217_product,agruxgb,week1,10.0,all,0123,0.11111287502352528,1.1012192235299663,0.8804920913884007,3619.611599297012,-0.050273745780728026,0.13214538106165252,0.15573367123624055,0.014555751359100835,0.012235178183239506,-0.41384868502473543,0.03169567782006263,-0.30135950164460457,-0.05930249256093037,-0.08276666093156124,0.4949616832173878,0.2120970903045812,0.25135769412693026,0.12095752940079256,0.20952606409592617,0.6299582479046171,0.12385061407412987,0.29153893570125283,0.34848634659539346
archive_20250217_product,agrulgb,day1,10.0,all,0123,0.12036326198316075,1.2318071065171925,0.9103690685413005,3739.0140597539544,-0.0198447611868378,0.12631517900409045,0.15151189207750157,0.029657946064785286,0.010642013876580281,-0.3968029501868374,0.0360559851315847,-0.30902574901288665,-0.030360545637949897,-0.07739151950857172,0.48303278612813566,0.1863543512527104,0.23840602143282255,0.09150769843467858,0.18862863649907988,0.6283803554364252,0.08132849087142159,0.28466259578001124,0.333815696558618
archive_20250217_product,agrulgb,week1,10.0,all,0123,0.11010602688003626,1.0945631080299443,0.8734622144112478,3619.611599297012,-0.0486321151114224,0.1367075145632175,0.15677936244440502,0.021894269054748634,0.017001345699889342,-0.42086640777748874,0.020252453507240434,-0.30751449826711763,-0.04081307441219867,-0.08851399450605772,0.47036273632486614,0.17781498676463872,0.2197595218047785,0.08943147471335632,0.175816124756724,0.6420360863366316,0.09060221882352747,0.2773208442745359,0.31609220388941983
archive_20250217_product,agru,day1,10.0,all,0123,0.1266020433123146,1.1123696888820933,0.8945518453427065,3648.9771528998244,-0.017182048737009764,0.07383661880758323,0.07185181292863807,0.033015347873526585,0.02527285291281564,-0.2046082219696946,0.029950611391316363,-0.17613427878703602,0.04284965750552967,-0.03517002146760203,0.1470407800836536,-0.009275026028719557,0.009133116596571188,-0.0020556089368718423,0.029618265855595398,0.32679151526574796,-0.044126870522314614,0.08702138777405864,0.07676152988967784
archive_20250217_product,agru,day2,10.0,all,0123,0.12579235771396674,1.0321159866314011,0.8787346221441125,3648.9771528998244,-0.029813953527263643,0.05285847308498714,0.0058576070891132575,-0.03247659711275259,-0.018167384509102696,-0.3393692298992274,-0.07285203733390141,-0.20010898936527358,-0.1615280673801138,-0.1760431326875314,0.1492056151689528,-0.02529375709426064,-0.005319066736453965,-0.0359345975203181,0.04238088061970714,0.3998924662025447,0.11656984746373764,0.08592629726787467,0.08318067878809612
archive_20250217_product,agru,week1,10.0,all,0123,0.11117873592435024,0.9756439668448675,0.8664323374340949,3538.847100175747,-0.06156507177239425,0.08943737914137187,0.08054435457487534,0.021004771087499593,0.03536224869538782,-0.24017264443071834,0.005572459493691526,-0.17727613272721832,0.02769331951771344,-0.05255374001298832,0.14493293713567837,-0.012641264140622038,-0.008949053351015713,0.0010335830798155257,0.018462687205655175,0.36383639051766553,-0.024855162054496102,0.08469622759513563,0.06198428197527997
archive_20250217_product,agru,week2,10.0,all,0123,0.10932462877423359,0.8950138407174423,0.8347978910369068,3538.847100175747,-0.07253975175070128,0.04749192038777035,0.0021940593378751367,-0.03781276588778547,-0.03046020482619627,-0.3896377316654217,-0.07389624324366381,-0.1906379087910634,-0.19662701587960324,-0.19547282210596623,0.15434907117396104,-0.020041946843397555,-0.010200629041449765,-0.016839608501185845,0.04256562728364129,0.40012465148884807,0.14722195981660768,0.07604008503061609,0.0639267246265636
archive_20250217_product,bigru,day1,10.0,all,0123,0.12458387798297647,1.0227694780106942,0.875219683655536,3648.9771528998244,0.002450150306694212,0.058863643509593236,0.05716622418056382,0.03195114911221404,0.02025228177085628,-0.18615342534161522,0.030298508898009512,-0.14688624874003858,0.030314897526998157,-0.03749758083286265,0.1363755477002767,-0.010416772312586435,0.008259847948262955,0.0034764155926379995,0.02411232959817789,0.31697977489659174,-0.03535528414757246,0.07996462287058333,0.0804535647480003
archive_20250217_product,bigru,day2,10.0,all,0123,0.12628530172127322,1.0269003903527603,0.8857644991212654,3648.9771528998244,-0.029227631566152656,0.050815731975153,0.003913163274567503,-0.031662179127611115,-0.016315093339376804,-0.3359155674353567,-0.06861798184528134,-0.18910230530011787,-0.1601743660069792,-0.17615072211981767,0.14587753050905156,-0.022935101239691856,-0.0047218595233313836,-0.03182803777101228,0.039147633526692795,0.3855454945265176,0.11308149564442255,0.0811576998495414,0.07779204843096899
