year,from,to,daynum,port_ret,bmk_ret,active_ret,total_risk,active_risk,IR,turnover,total_mdd,active_mdd,avg_active_mdd,win_ratio,bmk,model_id,dataset,label_shift,univ_id,suffix,archive_id
2014.0,20140107.0,20141231.0,242.0,1.1697472843325034,0.7398595705835527,0.4298877137489507,0.1938893516353604,0.10628937005640196,4.044503354576594,38.12962233065896,-0.08726750861503407,-0.1670657972724603,-0.08586405464494958,1.0,YangQi,agruxgb,day1,10,all,0123,archive_20250217_product
2015.0,20150105.0,20151231.0,244.0,2.118989520731697,0.14304339449207235,1.9759461262396243,0.5292583332717814,0.1980608223832607,9.97646128327206,41.161732200687865,-0.4387498232525884,-0.12152126533395392,-0.08586405464494958,1.0,YangQi,agruxgb,day1,10,all,0123,archive_20250217_product
2016.0,20160104.0,20161230.0,244.0,0.2955716636591703,-0.1338689348033686,0.4294405984625389,0.3316568196745832,0.09339534508136356,4.598094242153307,36.9392403854513,-0.2724820184076323,-0.05352600775286887,-0.08586405464494958,1.0,YangQi,agruxgb,day1,10,all,0123,archive_20250217_product
2017.0,20170103.0,20171229.0,244.0,0.16958597736798575,0.03689564900420783,0.13269032836377792,0.18289763228061795,0.10528581778452872,1.260286818831892,43.02318863853709,-0.20507934487170776,-0.11763635447503484,-0.08586405464494958,1.0,YangQi,agruxgb,day1,10,all,0123,archive_20250217_product
2018.0,20180102.0,20181228.0,243.0,-0.06716965283994791,-0.2266630717989613,0.15949341895901334,0.26727754162252565,0.11910774516334242,1.3390684102052868,41.68497783279838,-0.2429926494232103,-0.09812168176516843,-0.08586405464494958,1.0,YangQi,agruxgb,day1,10,all,0123,archive_20250217_product
2019.0,20190102.0,20191231.0,244.0,0.5769794741582945,0.17794046575708045,0.3990390084012141,0.2287781985835252,0.08039464880453905,4.963502102874844,44.42692915354103,-0.13279048534060345,-0.028789604265788468,-0.08586405464494958,1.0,YangQi,agruxgb,day1,10,all,0123,archive_20250217_product
2020.0,20200102.0,20201231.0,243.0,0.3157603630994066,0.17440699833247364,0.14135336476693294,0.2446106790237052,0.08218188257795245,1.720006409354936,39.672651190325816,-0.1462364203211043,-0.05454647143270129,-0.08586405464494958,1.0,YangQi,agruxgb,day1,10,all,0123,archive_20250217_product
2021.0,20210104.0,20211231.0,243.0,0.3903412513060927,0.18115746615000816,0.2091837851560845,0.17626492635863175,0.10917005400867012,1.9161278892421487,37.77419239930279,-0.1543922290500923,-0.0808794177280947,-0.08586405464494958,1.0,YangQi,agruxgb,day1,10,all,0123,archive_20250217_product
2022.0,20220104.0,20221230.0,242.0,0.023795203881568968,-0.13169335338485233,0.1554885572664213,0.2458212630886049,0.11057160123956117,1.4062250661410285,37.797916936165755,-0.2443213832515616,-0.07452103832525525,-0.08586405464494958,1.0,YangQi,agruxgb,day1,10,all,0123,archive_20250217_product
2023.0,20230103.0,20231229.0,242.0,0.09018174110593492,-0.01766039591989832,0.10784213702583324,0.14415340351815895,0.0763526347200973,1.412421947470103,41.195983936318115,-0.1449997976292814,-0.06821163412205611,-0.08586405464494958,1.0,YangQi,agruxgb,day1,10,all,0123,archive_20250217_product
